delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
1859616,347728,69117,53518,105793,41860,15894,12644,63,38
80187,4156,1904,5665,909,575,1026,716,63,38
1012635,143736,19358,137503,49846,42143,14919,14235,66,41
128252,53528,38611,35226,25814,14643,28003,13203,80,53
149154,54074,16857,5473,8575,6086,4387,2539,80,54
1677944,208099,209111,58311,65605,24478,16524,22062,80,51
896904,43618,83246,15269,41376,24723,9119,8052,83,53
108117,19156,34559,39073,9620,12687,6956,2621,90,54
790684,23354,7706,4089,7631,3790,8488,3499,90,60
722635,105218,47173,20601,12150,10883,11292,7017,87,61
1255364,180584,31012,102773,18281,9720,18005,18327,83,44
3351318,233916,69056,170306,45374,127628,38964,68662,75,51
2703608,546121,159174,372982,65647,164405,55497,19089,83,54
2366844,27007,32025,7466,22588,22239,8615,5684,83,54
154262,39608,7627,7199,7180,2007,1317,925,78,50
113472,314348,4611,17835,11056,18202,8955,7304,56,54
356325,76092,6271,11931,14351,5703,5721,5624,47,40
678799,84171,23320,12097,22987,14284,9649,2451,38,37
61878,15331,22382,3525,5308,5303,1904,1239,48,50
2452062,673683,152746,211405,74527,21628,28626,18622,66,40
805464,69827,24943,19180,16155,5671,5954,3002,74,38
96416,18035,13365,5035,17953,10343,13091,12511,77,48
1160872,507344,62322,60014,21069,10377,23552,15475,61,26
758523,301812,259140,58591,27944,37073,45052,17421,66,38
796929,69737,15118,9880,5629,14144,8150,4925,63,50
531305,1011801,8320,81937,45514,32474,19815,9293,48,24
1255701,127673,29298,4492,49460,29277,12418,16278,47,50
181116,14448,2929,3500,1818,3681,2247,1485,38,61
1490336,116024,20345,42123,5490,42477,8959,7207,41,66
591571,21696,3201,5516,7587,2826,1119,757,51,80
3021742,84905,130307,73472,21681,19496,28967,10877,70,67
210436,28125,3674,1105,2627,1282,822,441,64,51
605034,47364,27328,14678,18646,12863,9693,4184,66,47
874416,121323,14978,14870,6652,6958,2558,5905,64,38
198283,17567,4583,6090,4810,7726,1541,1459,51,53
99207,48644,30235,16086,4309,7053,3639,2631,66,61
426388,361777,62644,41403,36712,31126,14933,7437,60,53
551127,284808,23864,43010,29949,22364,22526,8277,60,56
486813,561067,51488,106716,50366,31053,39943,7998,56,37
194412,236717,37517,13909,21199,9145,9453,4182,43,27
885866,123515,17511,18469,24189,5773,8966,11185,43,21
175728,17655,1128,4496,2162,2647,2672,563,44,27
66151,8028,4533,2472,5405,2796,2629,2950,50,41
1108475,61321,39440,54143,8701,7634,11385,7511,66,47
89997,45334,5030,1107,2684,5424,8574,9736,60,56
2482757,50223,8056,8394,16321,11030,15978,5454,57,60
408490,29845,2102,12183,7630,8523,5179,3274,54,61
918468,87095,23814,19240,11371,6513,10136,4497,47,61
922698,150090,31237,18463,31744,18147,11047,7662,54,60
1993071,282589,45379,45318,20254,19596,5676,7503,56,50
1423267,154841,16813,60683,19964,40097,13449,21049,57,47
638142,89568,9532,17892,3220,5710,2288,6064,53,47
176880,52572,2641,17642,10439,6995,2761,1385,54,48
80010,42345,900,2247,1724,781,490,396,41,35
253015,66007,23235,33530,17331,17261,3296,2139,47,35
217046,9146,46792,2201,9128,3240,3210,1727,64,37
1173169,222087,96435,98816,98830,119055,66131,17567,64,37
1037425,177676,6397,65758,78379,65700,2608,7832,64,37
1617759,486299,102651,131854,100352,36680,39094,15406,64,37
266717,853,475,694,204,372,132,66,64,37
302945,438936,86223,23375,54702,45349,19199,5545,61,35
1187607,163311,32312,54620,25438,8542,6935,6947,77,41
771357,201345,4516,21571,13902,27051,6634,3085,63,40
900051,35453,10858,20174,7719,5783,3506,885,53,44
1442466,21776,13731,10966,3907,4497,4949,1822,64,47
1462580,15778,20005,2494,4886,6816,2727,1944,70,63
182225,77718,19593,7134,8321,3849,1270,1733,81,51
1140359,15972,13374,1159,7568,1921,1412,1067,80,50
442617,1105066,154062,71966,69383,37051,31865,6125,64,37
73630,3866,16059,6073,5980,4385,456,469,70,37
748126,177457,29412,29934,17309,25972,13423,7082,69,47
108088,244979,32965,5313,6153,6516,7544,2223,56,35
172105,107269,8914,28652,8151,6440,6212,2545,63,40
970727,360896,140434,88085,33651,46032,12226,14180,53,30
2137765,342792,55371,93605,57354,43513,19053,21511,54,27
98692,31440,4699,2491,3016,1939,2271,1323,57,38
1980885,61150,25500,3647,8570,7962,3380,6849,60,44
1455474,139209,63312,18466,39712,26372,16937,26258,57,48
80557,18382,9673,4990,6336,1814,2211,1088,63,44
846872,283797,14373,20665,2974,14943,4337,3838,56,43
257314,73233,63981,9648,15165,7727,19468,3486,63,38
211930,22460,4155,4619,3636,1952,1177,335,61,30
1817642,622972,103933,110158,184554,69696,98795,15875,61,30
628428,211499,42719,12317,10926,6298,1988,810,54,23
931327,337178,52617,17577,24280,14192,1516,1084,57,20
745442,345388,99224,171333,32087,35250,7092,17550,57,20
394446,8942,14361,2001,1554,3300,1509,1079,69,26
2611782,279250,220530,105513,47805,46476,37411,23926,80,40
151608,52081,5456,8955,12693,3543,7446,1310,81,43
291587,12226,5024,5277,3253,2706,620,373,80,50
658495,22712,15623,1951,1873,4177,2203,1335,74,50
82380,31181,7590,6672,9043,5126,8431,3026,63,54
819433,27807,40320,10923,11750,11835,2833,1918,78,66
1692023,383414,49613,148324,87731,55270,27007,6987,74,63
74001,8105,18785,2583,1716,2359,512,226,83,60
397617,21570,13098,7046,4847,5683,2606,3646,90,63
731254,84415,72782,8457,15193,13421,23640,6142,87,56
601443,28038,4834,17614,5007,5985,2775,1578,90,57
71879,10342,11426,5419,5539,3404,1067,339,83,61
733571,85640,27620,35209,12451,34093,34608,20630,81,67
156855,19923,6156,259,6512,2386,1439,2128,69,69
720862,195667,29000,31802,36700,23546,14582,11453,63,66
817921,31981,9461,5550,5012,4374,1122,749,54,64
83060,38626,26375,12909,10481,3434,1989,897,60,47
239674,160214,36237,79130,9794,16094,6025,9276,69,41
424314,31530,33360,30493,7179,4810,3538,2245,87,37
472635,62867,57601,21605,64715,27670,9836,5010,87,37
2242147,253004,100014,13403,31932,19815,24884,24019,87,29
377253,26100,18735,19361,8208,8787,3935,2159,88,41
69402,91877,20295,2417,6166,4525,4377,1056,78,38
320282,36176,8273,2242,7614,2983,1926,1056,61,40
315518,36585,1190,2212,2008,3010,3832,1502,47,43
37463,21304,4076,1696,12534,7025,4451,4830,29,50
192735,67863,21882,8052,22589,10157,6222,1753,30,60
687559,120183,61344,60232,12758,14143,18886,5518,43,57
2010467,484469,14224,16774,36454,11952,16207,6012,40,47
2347278,280996,94083,33220,50567,49775,8592,25602,48,38
31437,6830,4652,1132,2483,669,512,257,53,30
156519,4460,3918,2326,3958,2066,376,221,50,44
256066,52037,12366,13046,22107,13695,6685,2534,64,66
45087,9236,3769,1848,3384,1855,906,259,64,66
128815,33927,8063,14875,4478,2636,1110,1575,64,64
903966,171695,80145,37096,44145,30462,9147,14033,61,57
93191,10425,2695,10176,4118,1612,1258,867,70,48
561684,145942,28595,15562,8482,10212,9981,4808,67,40
230169,93740,22866,1105,8801,8362,2662,2571,60,43
589025,159341,90901,18259,22173,20498,11370,8503,61,40
474383,83328,42258,4132,10519,4569,2399,1355,56,34
242580,246119,115479,13856,18604,18283,9957,6272,61,30
32706,10831,2725,847,1740,1469,874,294,63,35
705922,389378,82684,35031,42094,18537,21906,19440,57,27
90795,16040,4685,2415,7977,2273,3514,2452,53,38
209291,19351,7296,3517,8175,3125,1144,1697,50,47
1696320,110543,7913,2750,7434,5126,1808,897,40,38
799882,88141,78584,28680,21294,14996,5816,2985,50,47
581302,37289,16950,6848,39043,21247,10164,11877,50,60
1385961,149385,44796,16430,27691,8621,3331,2432,48,51
636857,18817,410,822,3942,5053,1177,2707,43,69
433028,203891,21835,15726,32522,25419,12882,4955,27,70
770478,18423,15043,4748,3478,2027,1858,943,38,51
106316,15983,3046,7580,3000,1161,1121,1311,43,53
225909,14012,12661,5206,757,2855,1346,1177,70,41
354451,82138,6376,4851,7697,4917,4069,3499,67,35
200763,71727,23778,24440,14397,5204,5425,1353,63,34
1460881,32024,51796,31619,10054,17364,8416,4535,70,44
762696,8283,8412,2231,2200,3352,943,968,69,51
1566426,244780,5635,57924,12373,20666,10462,2649,77,54
1726591,450438,83596,116856,37228,79368,66699,47416,74,64
1663555,45725,62786,37743,26458,7431,5985,5389,74,54
157426,73995,17770,6215,5768,2219,2156,2358,63,34
346953,125667,11917,17450,26527,8577,8784,8711,61,30
1834838,39340,32055,24762,9831,15020,1102,420,61,30
1505823,78162,23327,13746,19395,3229,2897,1765,63,16
2854070,858222,38370,173293,181496,69058,11386,7625,44,17
156832,18498,2593,1195,782,1069,461,160,41,26
315757,83081,10160,17089,5822,5526,998,669,44,23
1694704,93799,53419,34057,55814,65576,5005,3077,44,51
666897,29769,8264,9011,2005,7047,1249,299,44,51
304971,19176,6897,3458,3736,2025,1337,383,53,53
2365762,672102,233796,204101,40202,375285,113860,11655,53,53
2745318,55730,3659,16192,28320,11994,5802,863,53,53
506461,54210,37961,19652,26760,27309,6750,2000,53,53
1717791,95508,146666,46378,40190,98512,9180,2841,53,53
474840,146029,71370,62187,143822,60689,5221,6561,60,66
778729,109243,28668,29323,18343,6599,1605,468,63,64
731488,69690,32433,26562,38948,10601,3463,3403,64,48
564764,19559,2652,6898,17309,9413,4942,1348,64,48
861172,123121,52295,12453,9256,3695,1544,772,66,37
1237759,456406,40423,120358,51033,56294,2008,1624,63,26
565435,111380,7130,33570,29349,13879,3007,1635,57,37
631821,391172,40624,38859,37303,16264,8584,4633,48,26
1535430,48761,25308,27883,29988,15704,3629,1374,50,48
710120,15793,846,1802,2235,1656,123,81,50,48
1039947,276139,35932,8436,14311,15780,18140,7727,43,43
188272,126940,7784,5561,35346,14621,9689,10382,34,44
379759,140400,71575,41884,31365,15129,7796,6014,44,50
2470679,165857,144664,18729,37079,9758,10317,10950,48,30
20255,14913,3541,2475,3034,2995,869,1005,54,41
46941,53169,38683,14856,5765,10275,6910,2409,75,41
1178168,49586,164155,24383,50814,19744,15062,11430,83,44
905939,43422,18082,33341,23932,8194,19676,8375,81,57
126781,9649,5385,634,3356,1367,1231,572,84,53
227863,137153,29832,3899,7810,2985,8336,3494,74,35
772696,73653,17554,39232,25976,7133,4083,6420,63,29
54530,20777,7080,3376,6346,8944,4885,5625,56,40
425085,95377,8661,16977,7803,11952,7809,4264,50,41
42476,43126,10419,16281,6709,4154,3698,8408,56,56
502005,44827,5480,10024,10666,8851,5291,3296,51,66
258870,59545,8039,10037,7660,11718,6259,3997,50,60
155061,12940,445,1970,2701,1441,3554,1632,44,60
236540,198727,50777,22574,68729,9884,18624,17296,40,54
152254,29706,3979,10094,11703,7823,3110,2166,40,56
535696,41659,2180,1926,5972,5371,1596,817,30,53
56822,37783,3142,4869,10617,7565,10123,4306,34,60
917596,59224,84875,6632,4878,11052,8186,3979,47,66
274811,25954,41615,23691,9371,8184,3033,5497,61,57
439547,18492,5436,7527,7998,5375,4906,3910,75,61
509359,79634,52162,16336,14357,19527,7009,5390,88,60
277143,8889,7067,2154,3820,2763,2201,1319,81,67
44001,19922,9574,4568,7806,6215,7579,3298,69,75
90474,11761,2297,1196,1934,1154,1154,404,64,67
101641,37820,6488,22455,39740,7023,5603,3598,60,64
125885,62702,13687,5821,3221,12615,2726,3214,51,64
121950,72980,24561,12249,12592,13902,3619,3042,51,61
254602,49273,6683,7385,7717,5123,4589,1001,50,61
942622,696067,40049,39206,35521,31887,21123,25858,40,53
1672438,334994,58206,9897,32628,14547,10576,5635,37,38
724503,107053,44447,20785,15508,51095,32017,13861,38,48
672928,98531,5421,27871,14218,31883,13180,8296,40,57
441545,329231,22695,30298,62784,43495,35311,24519,40,67
174481,49327,16319,24502,12822,13979,4058,5961,48,83
297139,11576,1896,1999,6901,6186,4713,3138,40,87
81122,53774,6057,4666,7833,4907,1967,1540,37,74
13542,5809,804,935,2259,1018,388,143,40,77
98881,18766,9726,2518,2446,3399,1367,993,40,70
733013,230844,5459,20524,28304,26427,3204,1372,35,57
387737,112044,15328,2534,18438,8392,2119,9147,34,56
70986,34367,2787,7258,5708,6469,7260,2361,34,57
296599,39779,12730,8667,6444,4342,2876,4121,34,53
377081,82829,34662,4695,9006,9586,2167,2358,47,51
697930,333815,39220,51119,23541,12955,7364,3077,53,43
90513,41589,8360,3454,20019,4503,1563,1021,50,38
6505,10586,9871,12333,8323,2954,2276,4649,57,38
230988,147725,16897,6273,14940,5298,2600,3345,48,27
57321,154999,22115,28339,9963,10585,6173,7395,50,34
161919,49190,10015,18160,8227,5690,4889,5107,57,34
252964,15175,6935,2416,1925,1720,753,1310,51,30
173575,8633,6751,2462,1471,1662,670,967,67,43
2221762,420282,337088,91346,83690,32630,18090,10254,77,40
1239985,69378,51497,9979,17206,21105,5736,7018,80,48
592441,503231,79214,41319,60838,40786,47234,22522,70,47
859020,166762,12874,6848,9888,6135,14136,9827,53,35
333064,19416,5966,4920,3608,10917,2340,7602,44,60
200968,59672,9458,14021,11278,5982,2899,3621,38,50
45261,28609,19055,4439,9538,6534,4555,2527,47,56
32911,37998,4533,4066,6068,14057,1652,2445,50,81
153542,34516,13780,7018,1952,4228,845,808,56,66
372837,55249,22520,31412,2514,4596,2401,940,64,60
984445,191355,13528,35730,53454,15793,2536,2343,56,53
358485,231013,29814,54433,40042,14625,3682,4114,61,34
558069,80243,31607,21621,7938,13890,5033,3772,61,35
1568383,54753,34405,28607,6835,3055,3691,1313,63,29
96004,24466,2245,2552,2107,1485,407,188,61,26
699169,219354,11313,14448,28369,18654,4947,2337,51,30
212115,46666,10384,3931,8192,6585,5555,5893,43,34
105773,65281,5277,8197,8208,1042,1522,1454,27,26
154856,15032,7358,10285,8201,2112,2231,887,40,29
61823,34098,6304,4206,3317,5996,3573,1919,50,37
1193070,427373,59366,20097,41555,36991,15758,7903,47,30
857157,166977,41418,24129,22932,11752,6362,3950,53,44
28390,4909,1093,2476,1778,1253,801,355,48,53
104677,23985,7106,3775,7018,5691,5112,1088,50,54
68806,23502,8394,765,1299,2030,2495,1357,56,53
1008007,410701,52814,33144,60946,17335,18054,16216,50,50
71660,13305,8804,1461,6088,7050,2202,9252,50,57
206002,6804,2506,1399,1815,1345,521,509,53,54
135429,177886,8848,69892,143552,16174,9082,6762,51,54
1434434,114598,70988,30961,23934,22056,19302,17928,63,66
1738172,85099,23171,4833,7784,4571,6585,3112,60,44
166359,74873,7956,5467,7844,4374,4088,1410,50,35
288587,98168,5695,4447,5257,5793,4291,3655,41,34
1638981,373168,85654,16116,36697,26478,40578,12778,34,26
563139,94548,89495,17204,16081,12017,10161,7868,43,29
1510156,31049,35818,15667,8141,23982,17439,9657,56,48
49510,46512,7273,30563,8885,25191,22141,10488,70,66
197199,79080,1379,8665,5893,8189,6564,3847,64,74
490844,618395,137117,55822,15492,18401,44952,20024,54,63
439206,207422,19688,30953,68097,45580,38795,10778,41,57
291195,34533,5179,7544,4430,8426,3403,5406,37,53
629063,46484,2402,36543,16184,26536,13998,9347,50,66
225061,22400,9000,10078,16007,3493,5524,1705,53,81
94199,35810,1926,1698,4627,10198,4654,2807,47,84
298191,196699,16879,34263,11481,9254,6054,5104,44,66
1117181,170136,50351,29476,13858,6419,3280,6632,44,40
982865,213473,32289,8197,17472,34213,11767,14725,34,44
61392,38714,4926,3929,2609,1260,1010,784,43,20
197369,23618,29064,17822,2747,5847,11940,2980,57,27
328631,75543,6225,6475,3160,10232,4697,3054,50,47
1378437,65180,117457,20579,16369,18111,14109,10396,69,41
675634,149339,8231,43816,20582,18718,5152,9366,74,54
19880,10996,4293,1144,1030,656,351,276,61,47
86195,50919,5310,8689,8227,3535,1546,1836,64,38
435169,84023,34009,21644,7102,16626,20342,8573,54,41
1543434,25219,27062,11003,5717,4700,3350,3058,67,38
326118,46982,6345,10206,9799,6204,3436,2524,63,50
371782,44828,5715,10186,10789,6565,2689,3933,64,56
639713,61313,3119,17035,25398,20288,24130,10730,56,64
121932,19451,8009,941,6001,2338,1439,2321,44,66
246277,22499,12378,12970,3035,9683,2211,2226,53,75
841724,142127,42881,12079,29843,7822,20953,6683,56,64
814523,71485,26930,10783,11584,5706,2190,3032,64,48
215643,222097,61426,51957,8233,13059,8399,6907,67,38
258702,158053,19841,23946,14850,4016,4174,2748,57,11
380213,37083,95426,13841,34149,23504,13176,16849,69,27
29046,112942,91493,18803,53624,24153,9820,16904,74,35
1318483,79512,38602,52534,39038,17236,17871,18361,75,47
1380257,292380,44282,100734,43441,32566,15385,4411,80,60
1081610,46086,25062,53332,30899,27045,17239,6642,75,63
331495,23561,5326,7386,7837,4585,1269,1314,70,64
727691,111479,48208,55835,2980,14577,21550,27913,74,61
66035,11050,6097,8188,6702,4261,1907,672,77,69
106354,29095,42685,4705,3261,8544,2028,1096,81,63
907363,195838,30231,6073,14972,10255,8459,7297,74,53
387464,155643,47325,33694,23028,12259,6373,3622,67,48
50843,47315,23711,19803,16916,9127,11068,3317,67,41
522351,25121,25225,16471,4936,16159,8658,4163,64,50
2304295,127801,21966,39976,15796,11469,5342,3360,74,53
1068668,141019,64078,28499,54902,28812,17722,11586,74,63
683673,337675,45165,29833,62716,30079,42580,33521,63,61
1313539,53112,24985,41192,25895,7258,6592,5017,63,47
539381,61599,3334,4730,9826,6415,12381,2998,50,50
243664,66970,5851,6054,8008,3663,2703,4690,41,40
17963,14623,6093,6702,9707,5368,2919,2796,48,50
22204,15624,7622,22541,10700,17511,22444,8186,47,69
461027,35477,27784,18407,21570,9642,9726,5422,63,74
190202,15129,10720,9550,12083,11940,4477,3859,74,94
2148097,66269,69416,10709,23385,30129,5993,7745,78,96
89848,53512,42598,28287,62603,23915,12149,8929,75,88
666450,110836,18329,16498,17209,21346,22897,14125,64,90
1667625,258594,11565,23362,59112,33322,51044,32186,51,78
622003,102957,2454,9543,9116,12431,8224,3271,34,70
143509,32005,11909,3145,5524,8046,2499,3057,29,70
57793,43355,6507,1628,1646,3061,3162,1521,26,60
117482,14444,2869,2608,3127,3766,818,399,35,64
110772,28993,2812,2552,2935,807,1966,748,40,48
612111,68071,57933,17987,26713,15012,9712,7596,48,41
75155,9028,1295,3704,694,967,480,663,56,44
462652,165650,74654,42137,32770,28051,43171,20748,63,38
394001,83940,43650,15353,25058,25788,24823,11493,70,60
163959,88538,3530,15922,7256,9555,8564,6651,60,57
292712,104660,18029,14716,4713,5968,4556,4329,54,51
45310,35982,45071,34353,12484,13730,2445,3886,63,54
186826,49149,2205,2670,7890,2614,2834,1669,48,40
310380,26615,7350,11316,5136,8459,2155,2054,56,48
828644,157817,36215,35049,20897,8932,12656,4303,60,48
368020,182677,12186,27479,27327,26827,3356,3738,41,50
35256,33998,51170,16368,7743,8871,4276,8400,66,56
306301,11623,3625,7747,13623,5136,4488,6763,64,57
786984,73742,61459,150881,104007,41064,18473,10363,70,70
1759544,109919,2885,39211,10695,12116,11872,2821,78,66
140607,28447,1318,8849,2113,10930,4567,3696,61,78
171606,175033,78691,23883,11923,10120,5754,9116,63,57
488482,80443,19209,10958,10023,11112,9604,5143,53,53
401196,87676,12223,8361,11597,7431,7144,3172,50,51
387869,303947,21371,44754,32459,14248,9236,3304,48,29
442765,316190,44178,4612,23031,11668,12428,3676,38,29
790411,34608,22976,59540,32128,9665,12866,4688,50,27
928104,27672,28460,6164,23946,17841,5689,5917,57,43
404020,119543,10676,18764,48792,24033,5880,4788,54,57
251704,182852,23006,33654,16148,11674,9963,7545,61,63
19620,14720,13838,10747,4946,5046,4811,2417,60,66
220649,24698,6478,9958,1589,1784,1161,645,63,47
164766,21766,5477,2973,7314,4983,2116,708,66,48
74292,122528,66936,80033,28126,16533,5756,4926,77,50
477464,225524,32311,27621,9241,12904,4707,7440,64,40
15047,33336,19272,11982,10589,10260,10914,4976,63,54
754172,119995,8612,32222,23324,22485,7128,8051,63,53
85035,28946,4556,3617,7013,3765,2604,2299,50,56
734915,54003,76088,71444,25463,34670,9765,12935,66,70
327279,176878,49353,14426,99641,7168,18722,6756,57,54
129417,3530,1952,3410,2580,1059,698,229,67,53
29377,25169,18234,8504,10258,6319,9767,2964,78,56
517750,229310,17766,30773,17166,33980,7071,12861,57,53
981492,108666,46011,39740,14116,32699,18008,7731,66,70
13470,5898,709,1271,915,955,344,490,56,69
518124,51140,20892,7353,65253,20115,27419,6790,47,78
1400385,44320,6382,55410,33564,20552,18256,8575,57,83
1132606,48976,34723,43927,32791,19834,12624,3961,61,81
96188,81351,6527,5430,13969,3888,2946,826,54,70
198149,112752,24480,1659,17781,3464,1710,1033,53,47
92836,25391,3415,9996,3355,3666,993,1949,50,37
1621581,186167,10520,35215,35227,21056,12608,9854,38,30
722899,21492,1895,6706,9988,9143,4947,2797,43,53
148723,51681,5578,6116,8053,8341,4679,3516,43,70
357851,32399,12035,16413,3392,3829,4022,2450,48,66
80695,21452,1484,2520,1701,595,379,507,47,53
375255,185255,27598,1554,8679,12870,1900,2627,43,35
357951,33377,8070,2063,1928,2303,6038,3001,47,23
448973,859149,226840,184932,55783,65020,58064,23171,43,21
204542,66816,13442,9789,4044,2302,1669,1326,48,23
933812,164164,18177,8961,43065,19998,13157,10573,47,29
708324,202981,34528,18419,55678,14989,16652,6096,43,29
665399,112723,6918,12488,9328,7472,2706,3988,34,29
1320865,195690,24317,11402,9166,9362,11187,9060,27,35
2174903,98770,68704,48477,13557,18010,16430,13549,44,30
121385,12406,6311,3027,6468,5441,2605,1123,53,48
132063,57203,11805,17961,46550,18696,5788,10383,57,64
153730,67977,21418,1848,7541,8698,4061,6582,63,75
78478,64676,19317,2682,8186,7035,2136,1893,51,75
1349072,175637,29954,8425,12592,7321,2330,1380,47,53
88791,39775,22651,13024,6887,5888,1668,432,54,40
105822,23136,24524,16726,13820,17184,2877,3569,64,51
127328,104344,8857,31610,11588,18135,11195,7025,64,56
125280,13657,1899,11115,15760,8589,6302,4129,67,80
1192503,86324,21907,11825,14062,6579,5424,2414,61,77
82562,7617,4389,155,871,1158,479,167,56,66
46026,34312,9150,11260,6409,3218,1260,1363,61,57
1066517,69397,16706,11508,16349,4812,5594,4950,60,38
183326,86733,8875,7689,6956,3220,1164,1157,54,30
528366,20833,16645,24984,31451,6883,4824,2693,60,30
97227,14895,20797,7344,8965,4377,2438,2255,66,38
600441,96315,32033,10213,10569,9069,4254,1581,66,41
93942,96553,14862,12368,5941,33543,12618,4507,66,64
2080446,68994,35303,87611,49673,44378,7906,16117,66,74
298030,92097,11382,12349,12282,6968,4060,1485,53,66
176682,112939,10548,9275,4154,3978,2367,2572,44,57
883797,105328,20363,33841,23315,11206,21179,7978,51,43
819218,98354,23415,12628,2947,3609,5935,1441,43,17
15097,32968,6545,81183,14274,11926,4176,6097,61,24
104788,20406,8171,2436,2541,728,781,288,69,21
30833,5809,4633,1212,1026,697,505,531,77,20
247044,158180,13477,6338,10580,15536,17869,18212,66,34
273068,61679,22633,15409,7661,9504,6309,8956,56,34
29113,25983,4687,8848,3781,3329,2938,576,54,50
999073,29649,612,2625,5567,1692,1165,1224,34,48
44179,76841,14728,16083,3274,3396,1896,2549,47,35
861100,473064,78563,117181,72284,39617,34067,39195,41,29
396706,21799,5987,7736,10713,3585,582,350,41,29
949945,146493,50266,22166,23626,20192,34937,26675,41,29
69116,17344,103,2406,4833,3602,3283,3222,43,44
281174,41245,11412,4530,18390,9176,3015,3555,38,63
96597,19900,4315,7840,8833,4831,3177,1407,38,74
46628,112620,22261,82445,14574,22064,14104,5738,43,74
29646,27823,10211,24174,31913,9520,13378,7529,57,70
481857,125163,20599,8891,29057,26055,10230,4654,54,70
239063,55572,5483,3618,4796,3292,3217,1444,48,57
34430,21517,21616,2082,2418,1319,2111,548,51,44
1426542,94122,12277,32217,16099,5962,9149,8764,48,30
216321,42384,145629,5244,32970,13130,6350,2203,69,21
802175,28480,14214,44291,15508,14357,9401,4931,88,37
80848,9671,4894,3653,4784,5200,2092,1536,81,61
97876,14674,1596,3340,940,2669,1123,925,80,75
48520,166385,29140,11155,24314,13691,11193,9913,57,75
411153,22227,3405,6021,2004,5908,5265,4133,48,75
1669138,164618,10520,13569,9165,11378,7801,10805,37,57
327514,58438,23650,43828,33474,31823,14833,22397,43,64
12968,17973,817,1841,827,2233,1404,2622,38,69
277833,63632,21587,9072,5640,9882,5569,4776,40,63
156670,61588,8972,12697,7649,21887,11952,6241,47,78
835158,129125,44410,15682,35318,21057,10098,6951,41,69
344150,50656,6077,1895,3045,2086,3533,1368,43,57
718879,112454,27231,18374,29840,17951,17077,13396,40,60
72799,46521,20997,2487,5253,4154,2818,617,47,44
374359,599190,26511,53496,74319,41908,14188,10310,37,38
831509,219333,29418,42023,19910,27258,6691,5816,41,48
803117,46414,20954,17761,26519,20642,13051,6796,44,56
227072,65445,1137,7166,689,4205,1432,3039,34,56
714301,93247,16033,13599,6933,6955,2937,1688,41,54
14249,14724,4137,2504,4957,3464,1789,1034,41,60
61962,171131,39580,35756,18359,22618,5616,2743,41,50
385711,87225,18785,9518,13770,14399,4243,1680,47,57
444820,73065,9578,20457,31877,12179,4512,3781,47,66
89228,174696,14153,12667,8622,5401,2562,4804,40,47
85376,21725,2114,1652,3725,3086,1627,1189,30,50
902478,54660,15874,34468,22864,11545,9291,7998,40,48
160534,10022,21461,3398,5198,4323,1577,1335,54,50
602331,13588,4164,3685,5239,4378,2523,1144,63,74
910889,30464,13267,13176,12973,4411,1557,977,75,67
631763,17960,670,2247,2644,3108,1767,1547,61,69
67165,12916,2593,3896,1675,2465,806,1425,48,69
145472,10207,10438,3153,5686,5993,2946,1756,54,70
269197,109147,94217,88565,12858,23833,7231,8166,63,70
602328,26222,7989,6284,8381,5029,3033,2449,70,69
424209,89352,14770,16061,8279,3431,2813,2019,70,54
119539,4503,14643,6559,3243,1368,3328,1244,83,37
753098,65253,9328,8753,3013,6047,11788,3108,67,35
893485,41014,9734,7558,5154,5008,9936,2319,67,29
106822,21706,5973,5845,3566,3763,3152,2541,69,44
73242,39493,12742,8201,3864,3271,583,642,53,44
478458,161943,27961,22906,34863,13676,7071,1927,54,44
227268,43561,11765,3085,3195,3452,1397,1405,53,40
298553,119452,26092,8061,40865,20216,11680,5679,47,43
1542221,100429,32028,7179,21960,10002,7182,5654,43,44
605115,131164,22539,24895,11165,14088,7481,2093,44,48
1392047,44157,21293,14356,13002,9875,9175,1691,48,56
184442,41514,25425,9237,6694,6697,3587,1989,60,53
2432886,145533,11022,15101,31224,22854,17423,8823,53,60
877203,201631,59234,17407,126387,22660,9470,7604,50,60
981193,61712,15388,27040,8050,18632,15490,10302,50,64
145948,24360,9160,6029,6813,1899,952,1689,47,57
628774,41383,8155,26684,41836,21187,11741,3389,54,64
1635632,229271,67494,43387,38933,24888,8289,6933,60,64
233980,47298,20905,64001,8888,12793,13411,10528,67,56
1024097,173841,69836,42575,16575,22620,21252,6625,69,61
1769646,56985,3785,5372,6278,4644,3244,2381,60,47
522932,65219,20320,37092,5987,13161,6872,4887,66,50
145902,19197,8885,3081,2490,3619,639,1478,56,53
965446,25062,16857,51182,4009,21470,21480,4588,66,64
47248,71511,48583,35617,25890,15875,5636,8532,83,69
166250,24380,4249,3008,7655,2648,3353,1469,74,66
858944,31124,22887,15930,1693,7132,3696,6173,80,64
2538126,115001,35601,47167,16293,31281,48970,13781,70,61
66366,24142,775,915,758,388,374,555,48,40
282219,30948,18899,6990,5230,2824,2260,734,57,35
820852,58103,16024,17811,19099,21214,8556,8005,50,44
49470,27185,4176,6210,9306,3514,2043,1126,43,38
317777,53035,15495,14929,5762,7653,2623,1940,60,56
204283,75920,18434,30472,18296,23355,19076,12527,54,69
2446696,105209,8349,14392,50956,20058,16005,20527,47,64
144122,33503,3259,12854,1862,3924,3767,2969,50,64
