delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
1319597,94774,39356,25635,18653,10873,17483,16040,63,26
78231,62150,4974,6211,10898,1963,2693,2212,48,21
619273,38395,13548,3854,5282,3894,1904,4574,44,24
658661,257216,62217,12760,38140,13573,12823,6871,47,24
202186,27621,16570,6301,8547,3798,1083,1751,48,24
1168924,910365,122404,153504,285092,173481,64146,22580,53,38
842976,37241,7856,17926,12041,5771,5079,2188,54,38
963471,13208,6924,4215,3343,1772,1590,588,63,43
864638,20492,34333,5897,13077,7511,2263,1260,67,48
439744,258229,57554,62781,9719,11419,8753,3859,75,37
1052446,15646,8045,26373,13713,4646,3739,4734,83,37
1760897,762261,62981,107378,141332,71838,42759,83737,69,37
145024,66261,17384,6956,8121,5908,3706,3455,60,30
514151,81695,23625,22598,25411,17100,18447,8299,57,43
1817296,581221,112988,187880,331968,52346,43398,47452,47,40
303234,259512,19033,16459,16653,19645,10406,8229,41,38
331678,25089,15708,6093,8367,7334,3542,2980,48,44
1933803,31886,20601,29873,4840,5952,4289,2687,48,44
2290642,102527,4988,8634,8371,12605,7661,4108,48,44
2201143,721437,132917,472983,68898,113901,26467,32864,54,41
826346,50338,20804,54068,47912,24244,11053,4340,61,50
345815,224634,240217,173530,202561,73910,138202,6816,80,56
100071,4500,1418,581,1677,1454,2160,189,80,56
2121634,1495483,184444,177409,53002,60342,226648,12295,70,43
1124904,155457,30266,12099,29082,41391,30312,2175,57,50
199701,32416,491,15006,3266,31485,1002,781,57,50
1215733,79145,7462,41543,43704,40920,33412,3545,51,54
606312,95769,4767,75901,11480,90363,2729,4062,44,66
296988,15890,3382,12471,19872,8247,11916,1285,44,66
1016447,136207,10878,17170,18050,101157,3069,2405,37,90
62916,3321,955,1916,6209,22294,917,349,27,100
40134,15253,2629,6012,7142,7965,10857,828,27,100
